Sample	Unique Reads	Duplicate Reads
SRR13675761_1	5620.0	95676.0
SRR13675761_2	7764.0	93532.0
SRR13675762_1	7230.0	91389.0
SRR13675762_2	10206.0	88413.0
SRR13675763_1	5998.0	88728.0
SRR13675763_2	6431.0	88295.0
SRR13675764_1	8996.0	89418.0
SRR13675764_2	7456.0	90958.0
SRR13675765_1	6116.0	95601.0
SRR13675765_2	7680.0	94037.0
SRR13675766_1	1563.0	30519.0
SRR13675766_2	1820.0	30262.0
SRR13675767_1	9721.0	120273.0
SRR13675767_2	10695.0	119299.0
SRR13675768_1	5051.0	57383.0
SRR13675768_2	4991.0	57443.0
SRR13675769_1	8880.0	95181.0
SRR13675769_2	9482.0	94579.0
SRR13675770_1	9561.0	106872.0
SRR13675770_2	10679.0	105754.0
SRR13675771_1	2552.0	91975.0
SRR13675771_2	2901.0	91626.0
SRR13675772_1	7239.0	88582.0
SRR13675772_2	7552.0	88269.0
SRR13675773_1	9206.0	100726.0
SRR13675773_2	10095.0	99837.0
SRR13675774_1	9251.0	96726.0
SRR13675774_2	8557.0	97420.0
SRR13675775_1	2298.0	109144.0
SRR13675775_2	2602.0	108840.0
SRR13675776_1	9545.0	184989.0
SRR13675776_2	13923.0	180611.0
SRR13675777_1	144.0	46.0
SRR13675777_2	162.0	28.0
SRR13675778_1	5372.0	99434.0
SRR13675778_2	5650.0	99156.0
SRR13675779_1	7254.0	108405.0
SRR13675779_2	9321.0	106338.0
SRR13675780_1	1875.0	82913.0
SRR13675780_2	2268.0	82520.0
SRR13675781_1	5372.0	75804.0
SRR13675781_2	6420.0	74756.0
SRR13675782_1	7846.0	98783.0
SRR13675782_2	8732.0	97897.0
SRR13675783_1	7641.0	97640.0
SRR13675783_2	7796.0	97485.0
SRR13675784_1	3292.0	59080.0
SRR13675784_2	4012.0	58360.0
SRR13675785_1	6925.0	112536.0
SRR13675785_2	8870.0	110591.0
SRR13675786_1	9867.0	109411.0
SRR13675786_2	11439.0	107839.0
SRR13675787_1	9311.0	104743.0
SRR13675787_2	10710.0	103344.0
SRR13675788_1	4371.0	94288.0
SRR13675788_2	5414.0	93245.0
SRR13675789_1	7967.0	96430.0
SRR13675789_2	8697.0	95700.0
SRR13675790_1	8061.0	106178.0
SRR13675790_2	9551.0	104688.0
SRR13675791_1	7276.0	97228.0
SRR13675791_2	8248.0	96256.0
SRR13675792_1	406.0	199.0
SRR13675792_2	453.0	152.0
SRR13675793_1	2458.0	47127.0
SRR13675793_2	2984.0	46601.0
SRR13675794_1	6973.0	90614.0
SRR13675794_2	8264.0	89323.0
SRR13675795_1	6885.0	97250.0
SRR13675795_2	8390.0	95745.0
SRR13675796_1	8018.0	108722.0
SRR13675796_2	9717.0	107023.0
SRR13675797_1	6691.0	107686.0
SRR13675797_2	8135.0	106242.0
SRR13675798_1	4117.0	110261.0
SRR13675798_2	5251.0	109127.0
SRR13675799_1	6378.0	81807.0
SRR13675799_2	7178.0	81007.0
SRR13675800_1	7953.0	98474.0
SRR13675800_2	9331.0	97096.0
SRR13675801_1	8008.0	87592.0
SRR13675801_2	7950.0	87650.0
SRR13675802_1	8603.0	92839.0
SRR13675802_2	9044.0	92398.0
SRR13675803_1	1501.0	43080.0
SRR13675803_2	1838.0	42743.0
SRR13675804_1	3899.0	34799.0
SRR13675804_2	4781.0	33917.0
SRR13675805_1	14394.0	241965.0
SRR13675805_2	22073.0	234286.0
SRR13675806_1	6025.0	65757.0
SRR13675806_2	7310.0	64472.0
SRR13675807_1	9572.0	97403.0
SRR13675807_2	10780.0	96195.0
SRR13675808_1	7770.0	96399.0
SRR13675808_2	8303.0	95866.0
SRR13675809_1	7398.0	93529.0
SRR13675809_2	7805.0	93122.0
SRR13675810_1	5740.0	75097.0
SRR13675810_2	6226.0	74611.0
SRR13675811_1	8479.0	105033.0
SRR13675811_2	11138.0	102374.0
SRR13675812_1	10438.0	92309.0
SRR13675812_2	10592.0	92155.0
SRR13675813_1	14524.0	83063.0
SRR13675813_2	12504.0	85083.0
SRR13675814_1	20004.0	143918.0
SRR13675814_2	17800.0	146122.0
SRR13675815_1	3904.0	46739.0
SRR13675815_2	4016.0	46627.0
SRR13675816_1	10337.0	104438.0
SRR13675816_2	10546.0	104229.0
SRR13675817_1	17520.0	111261.0
SRR13675817_2	14290.0	114491.0
SRR13675818_1	24342.0	189857.0
SRR13675818_2	21937.0	192262.0
SRR13675819_1	6591.0	75051.0
SRR13675819_2	7541.0	74101.0
SRR13675820_1	13737.0	173308.0
SRR13675820_2	13856.0	173189.0
SRR13675821_1	12849.0	134180.0
SRR13675821_2	13354.0	133675.0
SRR13675822_1	22475.0	188970.0
SRR13675822_2	19352.0	192093.0
SRR13675823_1	21839.0	110931.0
SRR13675823_2	23656.0	109114.0
SRR13675824_1	6974.0	115852.0
SRR13675824_2	7465.0	115361.0
SRR13675825_1	6449.0	41895.0
SRR13675825_2	6216.0	42128.0
SRR13675826_1	31026.0	268289.0
SRR13675826_2	30041.0	269274.0
SRR13675827_1	21572.0	160274.0
SRR13675827_2	20616.0	161230.0
SRR13675828_1	12670.0	146248.0
SRR13675828_2	12102.0	146816.0
SRR13675829_1	13102.0	123830.0
SRR13675829_2	12821.0	124111.0
SRR13675830_1	8985.0	96541.0
SRR13675830_2	9159.0	96367.0
SRR13675831_1	25898.0	216796.0
SRR13675831_2	24475.0	218219.0
SRR13675832_1	23298.0	176772.0
SRR13675832_2	23486.0	176584.0
SRR13675833_1	10175.0	143413.0
SRR13675833_2	10306.0	143282.0
SRR13675834_1	14748.0	159374.0
SRR13675834_2	14889.0	159233.0
SRR13675835_1	31413.0	276998.0
SRR13675835_2	29600.0	278811.0
SRR13675836_1	27644.0	250560.0
SRR13675836_2	27641.0	250563.0
SRR13675837_1	15756.0	144922.0
SRR13675837_2	14699.0	145979.0
SRR13675838_1	19060.0	163677.0
SRR13675838_2	16830.0	165907.0
SRR13675839_1	30299.0	225053.0
SRR13675839_2	29734.0	225618.0
SRR13675840_1	26985.0	205825.0
SRR13675840_2	24256.0	208554.0
SRR13675841_1	4612.0	61755.0
SRR13675841_2	4748.0	61619.0
SRR13675842_1	6271.0	114843.0
SRR13675842_2	6705.0	114409.0
