Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR13675761_1	SRR13675761_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101296.0	30.3 Mbp	0.0	300.0	54.0	5.548096667193176	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675761_2	SRR13675761_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101296.0	30.3 Mbp	0.0	300.0	53.0	7.664665929552992	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675762_1	SRR13675762_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98619.0	29.5 Mbp	0.0	300.0	55.0	7.331244486356585	300.0	300	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675762_2	SRR13675762_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98619.0	29.5 Mbp	0.0	300.0	54.0	10.348918565388008	300.0	300	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675763_1	SRR13675763_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94726.0	28.4 Mbp	0.0	300.0	53.0	6.331946878364969	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675763_2	SRR13675763_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94726.0	28.4 Mbp	0.0	300.0	52.0	6.789054747376644	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675764_1	SRR13675764_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98414.0	29.5 Mbp	0.0	300.0	51.0	9.140975877415816	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675764_2	SRR13675764_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98414.0	29.5 Mbp	0.0	300.0	52.0	7.576157863718577	300.0	300	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675765_1	SRR13675765_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101717.0	30.5 Mbp	0.0	300.0	55.0	6.012760895425544	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675765_2	SRR13675765_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101717.0	30.5 Mbp	0.0	300.0	55.0	7.550360313418603	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675766_1	SRR13675766_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32082.0	9.6 Mbp	0.0	300.0	55.0	4.8718907798765665	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675766_2	SRR13675766_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32082.0	9.6 Mbp	0.0	300.0	54.0	5.6729630322299105	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675767_1	SRR13675767_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129994.0	38.9 Mbp	0.0	300.0	52.0	7.47803744788221	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675767_2	SRR13675767_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129994.0	38.9 Mbp	0.0	300.0	51.0	8.226533532316877	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675768_1	SRR13675768_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62434.0	18.7 Mbp	0.0	300.0	56.0	8.088541499823814	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675768_2	SRR13675768_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62434.0	18.7 Mbp	0.0	300.0	55.0	7.994041708043693	300.0	300	pass	fail	fail	fail	fail	fail	pass	fail	fail	pass
SRR13675769_1	SRR13675769_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104061.0	31.2 Mbp	0.0	300.0	53.0	8.533456338109378	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675769_2	SRR13675769_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104061.0	31.2 Mbp	0.0	300.0	52.0	9.111963175445172	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR13675770_1	SRR13675770_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116433.0	34.9 Mbp	0.0	300.0	52.0	8.210730634785671	300.0	300	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
