Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR13675761_1	94.45190333280682	54.0	300.0	300	70.0	101296.0
SRR13675761_2	92.335334070447	53.0	300.0	300	70.0	101296.0
SRR13675762_1	92.66875551364342	55.0	300.0	300	40.0	98619.0
SRR13675762_2	89.651081434612	54.0	300.0	300	40.0	98619.0
SRR13675763_1	93.66805312163503	53.0	300.0	300	50.0	94726.0
SRR13675763_2	93.21094525262336	52.0	300.0	300	50.0	94726.0
SRR13675764_1	90.85902412258419	51.0	300.0	300	50.0	98414.0
SRR13675764_2	92.42384213628142	52.0	300.0	300	40.0	98414.0
SRR13675765_1	93.98723910457446	55.0	300.0	300	50.0	101717.0
SRR13675765_2	92.44963968658139	55.0	300.0	300	50.0	101717.0
SRR13675766_1	95.12810922012343	55.0	300.0	300	70.0	32082.0
SRR13675766_2	94.32703696777008	54.0	300.0	300	70.0	32082.0
SRR13675767_1	92.52196255211778	52.0	300.0	300	50.0	129994.0
SRR13675767_2	91.77346646768312	51.0	300.0	300	50.0	129994.0
SRR13675768_1	91.91145850017618	56.0	300.0	300	70.0	62434.0
SRR13675768_2	92.0059582919563	55.0	300.0	300	70.0	62434.0
SRR13675769_1	91.46654366189063	53.0	300.0	300	50.0	104061.0
SRR13675769_2	90.88803682455483	52.0	300.0	300	50.0	104061.0
SRR13675770_1	91.78926936521432	52.0	300.0	300	50.0	116433.0
SRR13675770_2	90.82820162668659	52.0	300.0	300	50.0	116433.0
SRR13675771_1	97.30024225882552	53.0	300.0	300	70.0	94527.0
SRR13675771_2	96.9310355771367	52.0	300.0	300	70.0	94527.0
SRR13675772_1	92.44528861105603	54.0	300.0	300	60.0	95821.0
SRR13675772_2	92.11863787687459	54.0	300.0	300	60.0	95821.0
SRR13675773_1	91.62573227085835	52.0	300.0	300	50.0	109932.0
SRR13675773_2	90.81705054033402	51.0	300.0	300	50.0	109932.0
SRR13675774_1	91.27074742632836	53.0	300.0	300	50.0	105977.0
SRR13675774_2	91.92560649952348	52.0	300.0	300	50.0	105977.0
SRR13675775_1	97.93794081226109	53.0	300.0	300	70.0	111442.0
SRR13675775_2	97.66515317384828	53.0	300.0	300	70.0	111442.0
SRR13675776_1	95.09340269567274	55.0	300.0	300	70.0	194534.0
SRR13675776_2	92.84289635744908	54.0	300.0	300	70.0	194534.0
SRR13675777_1	24.73684210526315	55.0	300.0	300	50.0	190.0
SRR13675777_2	14.736842105263165	53.0	300.0	300	50.0	190.0
SRR13675778_1	94.87433925538615	53.0	300.0	300	70.0	104806.0
SRR13675778_2	94.60908726599622	53.0	300.0	300	70.0	104806.0
