	SRR13675761	SRR13675762	SRR13675763	SRR13675764	SRR13675765	SRR13675766	SRR13675767	SRR13675768	SRR13675769	SRR13675770	SRR13675771	SRR13675772	SRR13675773	SRR13675774	SRR13675775	SRR13675776	SRR13675777	SRR13675778	SRR13675779	SRR13675780	SRR13675781	SRR13675782	SRR13675783	SRR13675784	SRR13675785	SRR13675786	SRR13675787	SRR13675788	SRR13675789	SRR13675790	SRR13675791	SRR13675792	SRR13675793	SRR13675794	SRR13675795	SRR13675796	SRR13675797	SRR13675798	SRR13675799	SRR13675800	SRR13675801	SRR13675802	SRR13675803	SRR13675804	SRR13675805	SRR13675806	SRR13675807	SRR13675808	SRR13675809	SRR13675810	SRR13675811	SRR13675812	SRR13675813	SRR13675814	SRR13675815	SRR13675816	SRR13675817	SRR13675818	SRR13675819	SRR13675820	SRR13675821	SRR13675822	SRR13675823	SRR13675824	SRR13675825	SRR13675826	SRR13675827	SRR13675828	SRR13675829	SRR13675830	SRR13675831	SRR13675832	SRR13675833	SRR13675834	SRR13675835	SRR13675836	SRR13675837	SRR13675838	SRR13675839	SRR13675840	SRR13675841	SRR13675842	SRR13675843	SRR13675844	SRR13675845	SRR13675846	SRR13675847	SRR13675848	SRR13675849	SRR13675850	SRR13675851	SRR13675852	SRR13675853	SRR13675854	SRR13675855	SRR13675856	SRR13675857	SRR13675858	SRR13675859	SRR13675860	SRR13675861	SRR13675862	SRR13675863	SRR13675864	SRR13675865	SRR13675866	SRR13675867	SRR13675868	SRR13675869	SRR13675870	SRR13675871	SRR13675872	SRR13675873	SRR13675874	SRR13675875	SRR13675876	SRR13675877	SRR13675878	SRR13675879	SRR13675880	SRR13675881	SRR13675882	SRR13675883	SRR13675884	SRR13675885	SRR13675886	SRR13675887	SRR13675888	SRR13675889	SRR13675890	SRR13675891	SRR13675892	SRR13675893	SRR13675894	SRR13675895	SRR13675896	SRR13675897	SRR13675898	SRR13675899	SRR13675900	SRR13675901	SRR13675902	SRR13675903	SRR13675904	SRR13675905	SRR13675906	SRR13675907	SRR13675908	SRR13675909	SRR13675910	SRR13675911	SRR13675912	SRR13675913	SRR13675914	SRR13675915	SRR13675916	SRR13675917	SRR13675918	SRR13675919	SRR13675920	SRR13675921	SRR13675922	SRR13675923	SRR13675924	SRR13675925	SRR13675926	SRR13675927	SRR13675928	SRR13675929	SRR13675930	SRR13675931	SRR13675932	SRR13675933	SRR13675934	SRR13675935	SRR13675936	SRR13675937	SRR13675938	SRR13675939	SRR13675940	SRR13675941	SRR13675942	SRR13675943	SRR13675944	SRR13675945	SRR13675946
ASV_0001	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	21	27324	19	659	0	38784	32492	0	8	29	67	30	50	25476	21734	0	5	0	46	39	41	602	16072	4641	16	42	0	37	28543	15	96	27456	9282	7	4	27	25	0	0	0	25920	11959	0	12	57	16343	249	18235	0	1693	19384	27	139	19582	11694	5	35	34662	11134	0	16	63	30223	7491	93	19	0	0	21	0	0	0	15	24	0	0	12	4	5	0	0	0	249	0	0	10	10225	0	0	2370	18451	3	0	0	0	0	32369	27861	38	59902	23857	26	60	19388	7953	0	0	0	18	9	8	41	13823	23812	0	0	0	19	33	0	0	0	176	0	0	21	3	0	0	86	0	0
ASV_0002	141	9451	506	0	0	0	0	6331	0	0	3	1061	0	5	3	16319	0	2565	0	11	431	0	0	2674	12623	0	0	47	6303	3641	0	0	3	3224	5894	0	64	0	179	0	0	2	9	56	0	0	2588	0	0	10	0	722	0	0	10	36	0	0	0	0	56	0	0	93	1436	0	0	30	777	0	0	0	54	2406	0	0	6	66	0	0	1882	116	55648	7	8	628	29846	0	0	187	13116	4682	0	0	1910	12058	5	0	11	14370	2	25	0	128	5517	0	0	114	12580	0	0	3118	6412	0	0	0	1881	1435	0	0	0	0	435	0	1056	0	1746	32114	4	0	14683	25875	0	0	126	5852	1794	2	0	36155	406	0	13	245	12719	0	0	61	71	0	42	142	0	420	472	0	0	21	2023	4	0	10	0	111	0	0	45	1456	0	0	82	30	912	0	0	1336	1635	0	0	12	0	0	4	255	0	0
ASV_0003	32	17	439	2126	0	0	0	0	0	6	0	414	185	84	16	426	0	0	4	53	7911	259	7	5	0	41	0	0	0	44	0	0	0	0	22	0	0	0	0	0	6363	4500	0	201	194	79	0	3	225	0	0	12	82	912	13	11	109	148	1053	10	0	3148	489	18	70	78	31	17	30	1073	0	0	22	16	0	0	0	9	1281	2643	0	16	1262	239	919	0	6	367	822	0	22	1789	142	166	370	8	1638	1539	60	173	3199	1566	1120	0	101	2012	7941	0	38	670	467	19	24	2912	24	50	7	0	0	0	7565	13048	85	28658	64	21189	11	144	2782	5731	81	14	21279	48702	0	226	0	10	4	11	0	0	0	0	0	600	700	0	0	120	48	0	975	0	13	16	26	0	0	1701	108	131	79	32	799	7	7	0	814	449	0	0	356	1728	112	0	186	5229	2303	25	970	0	0	200	214	32
ASV_0004	12	0	113	184	4	35	2582	0	4006	2120	44	667	3463	1416	28	442	0	8	233	4	185	661	249	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1574	286	415	0	36	1673	666	0	430	135	0	365	9	320	152	20	22	2033	2187	41	0	0	470	131	0	2	2424	1360	19	7	1720	2075	1543	27	118	8898	216	0	4	11882	108	0	0	0	325	429	0	0	7492	257	0	2	22	726	211	7	0	21	17	0	5	0	0	212	0	0	2204	2825	0	0	2432	5	0	202	21	4297	3470	8	0	252	557	0	2	14	503	0	1161	0	0	1341	4762	4	0	605	9	0	5	0	2058	3019	42	0	0	0	0	26	60	1843	0	0	4	1128	23	0	0	48	30	91	19	99	2246	13515	339	863	776	20318	3529	21	8	14649	1137	235	46	0	7574	1360	0	33	143	2153	593	12874	5483	0	8	15562	2739
ASV_0005	40	65	21933	0	0	0	0	0	0	0	0	13	0	0	0	0	0	199	0	14	0	0	0	0	11	3	0	29455	150	4730	0	0	5901	2992	7494	0	998	41334	10931	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	86	110	0	0	0	0	0	150	535	2810	0	0	452	0	0	12	19	0	0	0	0	0	557	1302	0	0	0	0	0	0	0	179	5	0	13	40	164	0	0	1495	233	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	139	116	0	0	0	0	0	43	9	0	0	41	721	293	0	0	14	38	0	0	54	734	0	0	73	77	0	4	11	66125	129	3	32	2260	0	0	6	51	0	0
ASV_0006	102	34	91	0	0	0	3033	0	0	0	84	249	43	0	63	1235	0	49	6356	12	123	4285	3968	53	0	622	1120	18	2	1092	5006	0	83	0	572	4446	338	0	8	798	0	39	8	133	2923	1292	21	4340	1779	0	1611	101	0	0	0	0	0	0	29	0	0	0	0	0	10	531	552	12	0	81	5573	4347	9	44	2027	1263	0	0	0	0	19	0	0	4	0	0	0	1613	223	0	3	23	314	287	15	0	0	0	0	0	47	23	450	0	10	629	1845	7	38	2096	0	19	107	55	6380	7379	24	14	2790	2955	0	0	109	0	7	0	0	2	0	0	82	25	419	120	0	4	0	4868	8973	37	0	573	30	3	39	0	674	4	0	0	582	14	0	18	32	0	0	36	99	884	5299	812	337	466	3125	4385	24	42	2680	3783	260	24	126	7193	4703	28	81	591	3223	372	8928	2690	295	163	14818	9963
ASV_0007	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	29	12	762	2415	38988	4284	1810	13222	0	48891	2691	188	4403	18760	2923	7	29	20	6794	0	0	3	34	16812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	25	0	8	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0008	521	810	412	0	0	8	0	123	0	0	0	966	0	0	23	1784	0	4007	0	0	85	0	0	424	2891	0	26	0	2755	681	5	0	0	1937	237	0	962	0	143	0	0	0	30	34	176	168	1209	0	0	57	0	960	0	26	29	141	0	0	0	5	1597	0	0	0	839	0	0	182	5563	0	0	26	690	18857	0	28	1790	2371	0	0	378	0	1864	0	0	0	219	0	68	16	1019	396	124	71	348	181	0	0	0	1883	0	0	0	0	2701	0	0	0	1341	0	0	21	11484	0	0	0	106	3594	0	0	5	13	156	4	522	0	0	495	0	0	254	26	27	144	0	1126	45	0	0	338	39	2268	22162	8429	770	0	0	318	30	0	66	59	0	272	138	0	6	11	179	44	0	121	0	754	0	0	156	2869	0	55	621	4877	189	0	0	31	0	0	21	0	4	0	58	144	0	0
ASV_0009	5	0	291	4792	863	18	0	29	1756	2920	10	153	751	610	2	64	0	0	11	0	119	372	7	16	7	996	278	0	0	31	11	0	0	0	16	18	0	0	0	25	398	279	0	0	11	0	0	0	10	0	0	3	1172	2445	31	49	2091	3537	154	0	0	10796	1221	7	13	6152	3162	128	0	105	347	549	0	37	832	188	0	0	288	151	0	0	16	3648	4605	3	0	173	33	0	4	215	123	213	13	0	1406	1124	28	18	569	0	220	0	18	3029	779	5	17	858	2454	12	33	369	373	41	0	0	135	190	32	94	0	323	17	252	0	0	6360	9338	0	0	2624	405	0	71	0	255	18	0	0	0	0	0	0	329	998	0	0	152	42	21	2114	0	27	4030	3371	171	292	1505	39	19	11	0	119	18	0	0	535	1116	0	0	167	1544	553	0	186	2743	3169	21	634	0	0	125	21	0
ASV_0010	21	36	23	0	40	0	1311	3	7	5	16	186	144	187	27	149	0	483	185	8	24	269	627	21	23	244	552	0	2429	312	345	0	9	156	41	335	512	0	101	1848	286	486	15	92	1545	691	46	1814	1864	13	1772	339	355	486	0	0	2	0	1124	0	15	0	0	2	0	316	222	2	0	279	2282	1387	20	58	1846	5627	62	141	256	0	21	0	9	64	116	46	0	1780	3281	0	74	116	10585	6570	75	0	1013	1368	14	25	1473	43	224	0	68	497	1143	5	140	191	0	0	350	69	714	656	8	688	3604	1786	0	0	143	0	38	0	6	35	0	0	21	12	544	362	0	92	0	2459	1522	14	0	5832	1043	96	98	0	59	53	18	0	45	4	0	5	0	0	0	8	0	658	188	1766	41	46	44	772	15	55	601	864	238	14	37	981	5151	81	26	63	301	26	226	423	2331	0	227	189
